receipt,meat_level,ingrs,time,front_ingrs,name,minutes
"Продукты которые понадобятся для приготовления кабачковой икры со свеклой. Свеклу отварить. Кабачки выбирайте молодые, но крупные, удалите семена и кожу. Свеклу натереть на крупной терке Кабачки натереть на крупной терке Лук почистить и порезать полукольцами, налить на дно кастрюли растительное масло положить туда лук и обжарить до золотистого цвета. Добавляем соль, сахар, уксус, кабачки, свеклу, тушим 20 минут. Разложить салат по банкам и закатать. Хранить в прохладном месте,. Приятного аппетита!",веган,"свекла,кабачок,лук,масло,сахар,соль,уксус",перекус,2 г. Свекла отварная 2 г. Кабачки 2  г. Лук 1 стак. Масло растительное 2  стак. Сахар 2  ст. л. Соль 1  стак. Уксус,Кабачковая икра со свеклой,30
"Кабачки, лук, морковь почистите и помойте. Нарежьте овощи кусочками. Помидоры помойте, обсушите и крупно нарежьте. Овощи пропустите через мясорубку и поставьте на огонь. Добавьте соль, сахар, масло. Доведите смесь до кипения. Потом варите в течение 40 минут, помешивая. После этого икру разлейте по подготовленным банкам и закатайте или плотно закупорьте закручивающимися крышками. Приятной дегустации!",веган,"кабачок,помидор,лук,морковь,масло,сахар,соль",завтрак,"1,5 Килог. Кабачок 2 Килог. Помидор 500  г. Репчатый лук 500 г. Морковь 250  мл. Растительное масло 5  ст.л. Сахар 2,5  ст.л. Соль",Кабачковая икра с помидорами,40
"Помойте и очистите от кожуры и семян кабачки, порежьте их мелкими кусочками. Отправьте кабачковую массу в кастрюлю, залейте её водой. Поставьте на огонь, доведите до кипения и оставьте на 2 минуты. Откиньте кабачки на дуршлаг и оставьте на 10 минут, чтобы лишняя жидкость стекла. Переместите кабачки в большую глубокую сковороду с толстым дном. Залейте маслом, добавьте томатную пасту. Не забудьте посыпать солью. Хорошенько размешайте и накройте крышкой. Время тушения – 25-30 минут. Не забудьте перемешать овощную смесь во время этого процесса еще раз. Тушеная кабачковая икра готова!",веган,"кабачок,масло,томатная паста,соль",перекус,900-1000 г. Кабачки 100 г. Растительное масло 500  г. Густая томатная паста со специями 1 г. Соль,Кабачковая икра тушеная,40
"Помидоры настрогаем тонкими дольками. Кабачки, если староваты, очистим от кожуры и удалим из них семена. Молодые - только помоем. Нарежем их крупной соломкой, пересыпем солью и убирем в холодильник на ночь. Они пустят сок, его сольем, отжав сами кабачки. Помытый лук почистим и нарежем кубиками. Соломкой нарежем перец, помытый и очищенный от семян. Как только мы подготовим все продукты, сложим в большую кастрюлю все ингредиенты нашего маринада. Перемешаем все и доведем до кипения. А потом каждые 10 минут добавляем в эту смесь овощи, все время перемешивая лечо. Сначала идут кабачки, 10 минут их тушим, следом - лук. Через 10 минут - сладкий перец, через другие 10 минут - помидоры. На последних 10 минутах выключаем газ. Лечо готово. И мы его разольем по стерилизованным банкам и закатаем.",вегетарианец,"помидор,кабачок,лук,перец,томатный соус,соль,сахар,уксус,масло,чеснок",перекус,1 г. Помидоры 3 г. Кабачки 6  шт. Лук репчатый 6 шт. Перец сладкий 1  по вкусу Соус томатный острый 1  ст. л. Соль 1.5  стак. Сахар 0.5  стак. Уксус 1 стак. Масло растительное 1 ст. л. Чеснок,Лечо из помидор,30
"В подходящей по размеру таре растапливаем сало до появления шкварок. В растопленном сале обжариваем лук, порезанный полукольцами, до прозрачности, а затем добавляем туда порезанную тонкой соломкой морковь и столовую ложку сушеной паприки. Перемешиваем. Через минуту добавляем широкие полоски болгарского перца, перемешиваем, а еще через минуту — томаты. При желании их можно обесшкурить, но это мещанство. Убавляем огонь, накрываем крышкой и тушим 30–35 минут. Затем добавляем рубленый чеснок, уксус, соль и сахар. Очень аккуратно перемешиваем. Снова накрываем крышкой и тушим еще 8–10 минут. Вкус должен получиться очень насыщенным, и даже немного «слишком» — это нормально. В последствии, при остывании, он стабилизируется. Остужаем и раскладываем по стерилизованным банкам. Употребляем холодным.",вегетарианец,"перец,помидор,морковь,лук,чеснок,сало,паприка,уксус,винный уксус,соль,сахар",обед,3 кг. Сладкий перец 900 г. Помидоры 3  шт. Морковь 4 шт. Репчатый лук 1  головка Чеснок 70  г. Свиное сало 1  ст.л. Сладкая паприка 3  ст.л. Белый винный уксус 2 ст.л. Сахар 1 ст.л. Соль,Венгерское лечо,15
"Говядину нарезаем небольшими кусочками. Готовим мы без масла, поэтому тушим ее в воде. Для соуса на раскаленную сковороду отправляем немного муки и обжариваем. Добавляем немного воды и смотрим, чтобы не быо комочков. Добавляем поулченную массу в говядину. Лечо также отправляем к говядине и тушим около 40 минут. Приятного аппетита!",мясоед,"мука,лечо,говядина",обед,300 г. Мука пшеничная высшего сорта 300 г. Говядина 400  г. Лечо,Гуляш с лечо,80
"Отвариваем курицу. Пока она готовится, протираем грецкие орехи. Обжаренный на маленьком огне лук охлаждаем до комнатной температуры. Разбиваем сырое яйцо, добавляем петрушку, чеснок, поджаренный лук и смешиваем с измельченными орехами. Вливаем куриный бульон и взбиваем соус. Солим, добавляем приправы, уксус (по желанию). Отварную курицу режем кусками, выкладываем в кастрюлю, заливаем соусом и доводим до кипения на среднем огне. После этого снимаем и даем настояться около трех часов. Подается в холодном виде. Сверху сациви можно украсить зеленью или зернами граната.",мясоед,"курица,орех,чеснок,яйцо,бульон,кинза,хмели-сунели,кориандр,перец,шафран",обед,1 шт. Курица 400 г. Грецкий орех по вкусу Чеснок 1 шт. Куриное яйцо 400  г. Куриный бульон 1  ст. л. Натуральный уксус по вкусу Кинза по вкусу хмели-сунели по вкусу имеретинский шафран по вкусу черный перец по вкусу молотый кориандр,Сациви из курицы по грузински,70
"Индейку положить в глубокую кастрюлю и залить водой. Отварить, вынуть, остудить. Снять с бульона жир, припустить на нем мелко нарезанный лук в глубокой сковороде или кастрюле. Остальной бульон процедить, дать немного остыть. Грецкие орехи пропустить через мясорубку 2-3 раза, чтобы не осталось твердых комочков. Добавить измельченные орехи к луку. Развести бульоном, дать им набухнуть и добавить все специи, кроме уксуса. Постепенно добавить остальной бульон. Лучше, чтобы не оплошать, начать с половины бульона и потом добавлять понемногу. Варить сациви в течение 6 часов до консистенции жидкой сметаны, постоянно помешивая. Если сациви подгорит, даже чуть-чуть, вкус будет совсем не тот. Тем временем, отваренную индейку обжарить в духовке в течение 20 минут в духовке при 250 градусах. Достать, остудить и разделать на порционные куски- не слишком крупные, но и не маленькие, как в рагу. Когда масса загустела и понятно по вкусу, что блюдо уже правильное, заложить нарезанную индейку. Как только сациви закипит, добавить 2 столовые ложки белого винного уксуса, перемешать и выключить. Убрать в холодильник на ночь, чтобы блюдо настоялось и насытилось вкусом.",мясоед,"индейка,орехи,лук,перец белый,уцхо-сунели,чеснок,гвоздика,шафран,соль,винный уксус,уксус",ужин,3 кг. Индейка 800 г. Очищенные грецкие орехи 600  г. Репчатый лук 25 г. Молотый белый перец 3  ч.л. Уцхо-сунели 25  г. Чеснок 5  г. Гвоздика 2  ч.л. Имеретинский шафран по вкусу Соль 2 ст.л. Белый винный уксус,Сациви,90
"Индейку положить в сотейник, залить куриным бульоном, добавить луковицу, морковь, стебли и корни кинзы, кориандр. Довести до кипения и варить на медленном огне около часа. Бульон от индейки процедить в чистый сотейник, добавить куркуму, на небольшом огне перемешать венчиком. Добавить грецкие орехи и снять с огня. На сковороде разогреть оливковое масло, всыпать сахар, добавить соль и курагу, нарезанную кубиком. Помешивая готовить минут 5, затем добавить херес. Хурму нарезать дольками и отправить к кураге, добавить белый перец. Обжарить до легкой карамельной корочки и снять с огня. Бульон с орехами пробить в блендере с чесноком, шалотом, тхиной, винным уксусом, кинзой и петрушкой. Вареную индейку крупно нарезать, переложить в чашу и залить мясо ореховым соусом. Посолить, поперчить, перемешать и дать остыть. На тарелку выложить куски индейки, полить большим количеством соуса, рядом выложить курагу с хурмой. Украсить зернами граната и свежей зеленью.",мясоед,"индейка,бульон,куркума,кинза,орех,винный уксус,уксус,хурма,курага,чеснок,лимон,лимонная цедра,сахар,сладкий херес,лук,морковь,кориандр,тахини,соль,перец белый",ужин,400 г. Филе бедра индейки 400 г. Грудка индейки 400  мл. Куриный бульон 1 ст.л. Куркума 30  г. Кинза 100  г. Грецкие орехи 50  мл. Белый винный уксус 400  г. Хурма 200 г. Курага 50 мл. Оливковое масло 3 зуб. Чеснок 1 ст.л. Лимонная цедра 25 г. Сахар 100 мл. Сладкий херес «Педро Хименес» 1 шт. Репчатый лук 1 шт. Морковь по вкусу Семена кориандра ½ ст.л. Тахини по вкусу Соль по вкусу Молотый белый перец,Сациви с курагой и хурмой,110
"Ну да ладно, займемся делом. Тем более, что дел на полчаса, не больше) Отвариваем свеклу, морковь картофель. Чистим овощи, режем кубиками. Огурчики также режем кубиками. Лук можно тоже кубиками, но я предпочитаю очень мелко. Смешиваем все, добавляем капусту, заправляем растительным маслом. Последнее время я добавляю еще и потертые соломкой яблоки. Они придают изысканность салату. Можете попробовать. Кушайте вкусно и полезно!!",вегетарианец,"морковь,свекла,огурец,капуста,картофель,лук,соль",обед,300 г. Морковь 400 г. Свекла отварная 200  г. Соленые огурцы 200 г. Капуста квашеная 400  г. Картофель зрелый 150  г. Лук по вкусу Соль по вкусу Масло растительное,Салат винегрет с квашеной капустой и свеклой,40
"Картофель, свеклу, морковь отварить. Картофель и морковь нарезать кубиками. Свеклу натереть на терке. Лук, огурцы измельчить. Сельдь очистить и нарезать кубиками. Смешать картофель, свеклу, морковь, огурцы, капусту, зеленый горошек, сельдь. Поперчить, посолить по вкусу. Полить нерафинированным растительным маслом. Посыпать порубленным укропом. Перемешать. Украсить ломтиками селедки.",мясоед,"морковь,картофель,селедка,лук,капуста,огурец,горох,свекла,соль,зелень,перец",ужин,2 шт. Морковь 4 шт. Картофель зрелый 1  шт. Сельдь свежая 60 г. Лук зеленый 300  г. Капуста квашеная 5  шт. Соленые огурцы по вкусу Горошек зелёный консервированный 2  шт. Свекла отварная по вкусу Масло растительное по вкусу Соль по вкусу Зелень укропа по вкусу Перец черный молотый,Вкусный винегрет с сельдью,30
"Для приготовления необычного винегрета нам необходимо взять морковь и картофель. Морковь очистите от шкурки и нарежьте на равного размера кубики. Морковь поместите в кастрюлю и залейте водой. Поставьте на огонь и доведите до кипения. Варите 5 минут в подсоленной воде. К кипящей моркови добавьте нарезанную картошку. Дайте повариться 3 минуты (после закипания), после чего добавьте в кастрюлю 1,5 ст. ложки уксуса (у меня винный, но можно взять и столовый). Уксус не даст картофелю и моркови превратиться в пюре. В микроволновке запеките свеклу. Это можно сделать и в духовке, просто отварив свеклу в воде привычным способом. Готовую свеклу очистите и нарежьте кубиком. Поместите в миску. Соленые огурцы нарежьте кубиком. Огурцы со свеклой полейте 2-3 ст. ложками растительного масла. Перемешайте. Масло сдобрит всю свеклу, и она не будет так активно красить остальные овощи в салате. Картофель и морковь откиньте на сито. Дайте стечь воде и промойте картофель под проточной водой. Вода остановит процесс варки. Добавьте в салатник картошку с морковью. Перемешайте. Смешайте небольшое количество растительного масла, лимонного сока и черного молотого перца. Полученной смесью заправьте весь салат. Уложите его на тарелку. На каждую порцию салата выложите кусочки соленой селедки. Я решила подать блюдо с целыми кусочками селедки, но можно сельдь нарезать, смешав ее с нарезанным репчатым луком. Выложите рыбку сверху на салат.",мясоед,"морковь,картофель,селедка,свекла,огурец",завтрак,"2 шт. Морковь 4 шт. Картофель 1  шт. Селедка 2 шт. Свекла 4  шт. Огурцы соленые по вкусу Растительное масло,",Необычный винегрет,50
"Сначала подготовьте заправку, для этого смешайте 5 столовых ложек оливкового масла, винный уксус, пропущенный через пресс зубчик чеснока, измельченный базилик, соль и перец. Перемешайте и отставьте в сторону настаиваться, пока мы будем заниматься остальными ингредиентами. Фасоль отварите в течение 5 минут в кипящей подсоленной воде, затем откиньте на дуршлаг, дав стечь жидкости. Отрежьте у стручков хвостики. На сковороде разогрейте оливковое масло, добавьте пропущенный через пресс зубчик чеснока и фасоль, обжарьте в течение 3 минут. Готовую фасоль смешайте с порезанной петрушкой, сбрызните лимонным соком и дайте остыть. Порежьте полукольцами лук, перец полосками, а помидоры и отваренные яйца — крупными дольками. Смешайте в салатнике все ингредиенты, добавьте подготовленную заправку, сбрызните лимонным соком и подайте на стол.",мясоед,"фасоль,руккола,петрушка,помидор,яйцо,лук,маслины,базилик,анчоус,перец,лимон,винный уксус,уксус,масло оливковое,соль,перец",завтрак,"200 г. Стручковая фасоль 1 шт. Пучок рукколы 1  шт. Пучок петрушки 2 шт. Помидор 2  шт. Яйца 1  шт. Лук 20  шт. Маслины 10  шт. Листочки базилика 8 шт. Анчоусы 0,5 шт. Сладкий перец 2 ч.л. Лимонный сок 1 ст.л. Винный уксус по вкусу Оливковое масло по вкусу Соль, перец
",Нисуаз (классический рецепт),30
"Отварить яйца всмятку и нарезать на ломтики. Томаты нарезать дольками. С тунца слить жидкость. Белый лук нарезать кольцами. Редис нарезать круглыми ломтиками. Для заправки в миске смешать оливковое масло, уксус, соль, перец. Смешать все ингредиенты для салата и полить заправкой.",мясоед,"маслины,руккола,яйцо,тунец,лук,редиска,винный уксус,помидор,соль,перец",перекус,100 г. Маслины 100 г. Руккола 3  шт. Яйцо куриное 100 г. Консервированный тунец в масле 100  г. Белый лук 100  г. Редис 50  г. Оливковое масло 10  г. Винный уксус 100 г. Помидоры по вкусу Соль по вкусу Молотый черный перец,Салат нисуаз с рукколой,30
"Подготавливаем необходимые ингредиенты для кулича. Сухие дрожжи смешиваем с 2/3 всей муки. Добавляем яйца, ванилин, сахар и заранее замоченный изюм. Тщательно перемешиваем все ингредиенты (можно с помощью миксера). Сливочное масло растворяем в молоке на огне. Смесь не должна быть слишком горячей, так что при необходимости охлаждаем. Вливаем масляно-молочную смесь в тесто. Размешиваем все ингредиенты с помощью миксера. Получается однородное тесто. Постепенно добавляем оставшуюся муку и замешиваем тесто. Тесто должно получится не густым, а немного жидковатым. накрываем полотенцем и оставляем в теплом месте на 1,5-2 часа. Тесто должно подняться в 2 раза. Выкладываем тесто в форму для кекса, смазанную маслом, и отправляем в духовку на 40 минут, предварительно разогретую до 170 градусов. Кулич с изюмом готов. Посыпаем сахарной пудрой и наслаждаемся. Приятного аппетита!",веган,"мука,молоко,яйцо,сахар,масло,изюм,дрожжи,ванилин,ваниль,пудра",ужин,500 г. Мука 150 мл. Молоко 4  шт. Яйцо 150 г. Сахар 150  г. Масло сливочное 70  г. Изюм 11  г. Дрожжи сухие 2  ст. л. Масло растительное по вкусу Ванилин по вкусу Пудра сахарная,Кулич с изюмом,120
"Подготавливаем необходимые ингредиенты. В миску наливаем 100 мл теплого молока и добавляем 2 ст.л. сахара, 3 ст.л. муку и дрожжи. Разминаем все ингредиенты и оставляем подниматься. Яйца растираем с оставшимся сахаром. Добавляем дрожжевую смесь, растопленный маргарин, сметану, оставшееся теплое молоко, ванильный сахар и соль. Постепенно добавляем муку и замешиваем тесто. Количество муки регулируем, тесто не должно получиться тугим. Накрываем полотенцем и оставляем на 1,5-2 часа. Затем обминаем и снова оставляем на час. Подготавливаем металлические разъемные формы. Можно взять и бумажные формы, застелив дно и бока пергаментом. По истечению времени получается вот такое тесто. Выкладываем тесто в формы, заполняя их на половину, т.к. тесто в процессе запекания поднимается. Оставляем тесто в покое на час для расстойки. По истечению времени отправляем в духовку на 25 минут, предварительно разогретую до 150 градумов. Пасхальный кули готов. Украшаем по своему вкусу. Приятного аппетита!",веган,"молоко,сметана,маргарин,дрожжи,сахар,ваниль,изюм,мука,яйцо",перекус,500 мл. Молоко 1/2 ст. Сметана 100  г. Маргарин 3 шт. Яйцо 2  ст. Сахар 50  г. Дрожжи свежие 7  ст. Мука 150  г. Изюм 10 г. Сахар ванильный,Кулич пасхальный,120
"Миндаль раскаливаем на сухой сковороде или подсушиваем в духовке. Снимаем кожицу и измельчаем орехи с помощью блендера. Размягченное сливочное масло взбиваем с сахаром. Добавляем просеянную муку с разрыхлителем, миндаль, цедру апельсина и тертый имбирь. Тщательно все перемешиваем. Вливаем в тесто тонкой струйкой взбитые яйца. Добавляем ликер и сухофрукты. Все перемешиваем и выкладываем тесто в форму для кекса, смазанную маслом. Тем временем готовим глазурь. Охлажденные яичные белки взбиваем с лимонным соком и постепенно добавляем сахарную пудру. Раскатываем глазурь в пласт. Достаем кулич из духовки. Украшаем глазурью, а из оставшейся глазурью формируем звездочки. Украшаем фигурками и кондитерской посыпкой.",веган,"масло,сахар,апельсин,имбирь,миндаль,мука,разрыхлитель,яйцо,изюм,курага,ликер,алкоголь,пудра,лимон",ужин,200 г. Масло сливочное 150 г. Сахар 1  ст. л. Цедра апельсина 1 ч. л. Имбирь тертый 200  г. Миндаль 100  г. Мука 1  ч. л. Разрыхлитель теста 5  шт. Яйцо 50 г. Изюм 50 г. Курага 8 ст. л. Апельсиновый ликер 1 шт. Яичный белок 225 г. Пудра сахарная 1 ч. л. Сок лимонный,Английский пасхальный кулич,120
"Яблоки нарежьте на очень тонкие круги. Противень смажьте сливочным маслом. Если используете слоеное тесто, то раскатайте его максимально тонко. Первыми выложите 4 тонких слоя теста,промазанных между собой сливочным маслом. Выложите четверть ореховой смеси поверх теста, затем половину яблок одним тонким слоем. Присыпьте снова орехами и закройте еще 3-4 слоями теста, промазанными между собой сливочным маслом. Второй раз повторите процедуру: орехи - яблоки - орехи - тесто. Третий раз выложите все, кроме яблок: орехи - 3-4 слоя теста. Сверху смажьте щедро сливочным маслом и острым ножом нарежьте пахлаву. Все ингредиенты для приготовления сиропа смешайте в кастрюле и доведите до кипения на среднем огне до полного растворения сахара. Уменьшите огонь и готовьте пока сироп не уварится на половину. Остудите. Выпекайте до золотистой корочки около 45 минут при температуре в 160-175°С. Достаньте из духовки. Горячую приготовленную пахлаву полейте охлажденным сиропом. Подавайте охлажденным. Приятного аппетита!",вегетарианец,"орех,пекан,сахар,корица,яблоко,тесто,масло,мед,корица,вода,имбирь,гвоздика,мускатный орех",перекус,"2 стак. Орехи грецкие 1 стак. Пекан 1/3  стак. Сахар коричневый 1,5 ч. л. Корица 1  шт. Яблоко 1  упаковка Тесто фило по вкусу Масло сливочное 1  стак. Сахар 1/3 стак. Мед 1 палочка Корица 1/2 стак. Вода по вкусу Имбирь молотый по вкусу Гвоздика по вкусу Орех мускатный",Яблочная пахлава,40
"Пока отдыхает тесто, сделайте начинку. Для этого пропустите через мясорубку орехи или измельчите их с помощью блендера. Соедините орехи с сахаром и молотым кардамоном. Смажьте форму, в которой будет выпекаться пахлава, растительным маслом. Лучше взять дезодорированное масло, которое не имеет явного вкуса. Как только тесто увеличится в несколько раз, обомните его и разделите на 9-12 частей. Два кусочка сделайте чуть больше. Можно приступать к раскатке коржей. Старайтесь делать их очень тонкими. Если вы начинающий кулинар и ваши тонкие коржи будут рваться, не расстраивайтесь, пусть будут небольшие дырочки, на конечном результате это не отобразиться. Из двух больших по размеру шариков сделайте верхний и нижний слой. Не страшно, если они будут чуть толще, чем остальные. Каждый слой теста пересыпайте начинкой. Верхний корж смажьте желтком, который заранее смешайте с шафраном. И ставьте в духовой шкаф пахлаву на 5 минут при температуре 150 градусов. Через 5 минут достаньте пахлаву. Разрежьте на красивые ромбики. В каждый ромбик вдавите половинку ядра ореха. Залейте в разрезы растопленное сливочное масло и отправляйте форму с пахлавой снова в духовку на 1 час с прежней температурой духовки. Пока печётся пахлава, приготовьте медово-сахарный сироп. Соедините мёд, сахар и воду. На маленьком огне уварите сироп до загустения 15-20 минут. По истечении нужного времени, достаньте пахлаву. Залейте сиропом и оставьте ещё на час пропитываться. Приятного аппетита!",вегетарианец,"орех,кардамон,желток,шафран,масло,сахар,мед,вода",перекус,300 г. Орехи грецкие 1/2 ч. л. Кардамон 2 г. Масло растительное 1 шт. Желток яичный 1/2 ч. л. Шафран 100 г. Масло сливочное 200 г. Сахар 200 г. Мед 100 мл. Вода,Пахлава медовая,90
"Чистим сладкий Перец черный молотый и лук. Моем и нарезаем овощи: лук - полукольцами, Перец черный молотый на полоски. Обжариваем на подсолнечном масле до прозрачности лук, добавляем Перец черный молотый и слегка прожариваем до легкого золотистого оттенкам лука. Посыпаем овощи любимой зеленью: петрушка, укроп, базилик и т.д., солим и добавляем любимые специи по вкусу. Раскатываем слоеное тесто и режем на четыре квадрата. В том случае, если квадратов у Вас получилось больше, Вам понадобиться большее количество яиц. Рассчитывайте одно яйцо - один квадрат и одно дополнительное для смазки теста. Раскладываем наши квадратики из теста на листе пергаментной бумаги. Тупым концом ножа нанесем разметку на расстоянии 1-2 см от края, рисуем внутренний квадрат. Главное в этом деле не прорезать насквозь тесто. Внутри накалываем тесто вилкой. Взбиваем одно яйцо и смазываем заготовки для пиццы. Тесто внутреннего квадратика смазываем сначала горчицей, а затем сметаной. На один кусок теста одну ст.л. сметаны. По желанию можно присолить. Выкладываем на каждую пиццу обжаренные овощи, оставляя по центру небольшое углубление. Здесь мы в последствии разместим яйцо. Помещаем в заранее разогретую до 180 градусов духовку на 10 минут. Тесто по краям должно подрумяниться. Извлеките из духовки и в каждое углубление поместите по одному яйцу. Будьте аккуратны. Оставьте желтки целыми. Солим + перчим + специи (те которые Вам по вкусу). В духовку еще на десять минут. Яичный белок Куриное яйцо должен схватиться.",вегетарианец,"перец,лук,тесто,яйцо,сметана,горчица,зелень,соль",завтрак,"2 шт. сладкий Перец черный молотый 1 шт. Лук репчатый 0,5  кг. слоеное тесто 5 шт. Куриное яйцо 4  ст. л. Сметана по вкусу горчица по вкусу зелень по вкусу специи по вкусу Поваренная соль",Мини-пицца с яйцом,40
"Сливочное масло нарезать небольшими кусочками. Смешать с просеянной мукой и сахаром. Перетереть смесь при помощи вилки до состояния мелких хлебных крошек. Добавить овсяные хлопья. Вымешать однородное тесто. Скатать его в шар. Переложить в миску, затянуть пищевой пленкой и убрать в холодильник на 15 мин. Раскатать тесто в круглую и тонкую лепешку, около 30 см в диаметре. Смазать маскарпоне, выложить сверху ягоды и сбрызнуть медом или кленовым сиропом. Выпекать 5–7 мин. при температуре до 270 °С. Подавайте горячей с мороженым.",веган,"масло,мука,сахар,хлопья,маскарпоне,сыр,мед,пломбир,мороженое",завтрак,30 г. охлажденного сливочного масла 80 г. муки 4  ст. л. коричневого сахара 2 ст. л. овсяных хлопьев быстрого приготовления 3  ст. л. маскарпоне 130  г. свежих или замороженных ягод по вкусу  г. мед по вкусу  г. пломбир,Сладкая пицца,30
"На противень выстелить пергамент для запекания, смазать его растительным маслом. Готовый корж для пиццы разморозить следуя инструкции на упаковке. Если вы не нашли такой корж, используйте в приготовлении готовое дрожжевое тесто, которое можно купить в кулинарии, либо приготовьте тесто самостоятельно. Корж для пиццы выложить на противень. В равных пропорциях на корж выложить немного кетчупа и майонеза. Перемешать и распределить равномерным слоем на корже. Сыр натереть на крупной терке. 2/3 части сыра выложить на корж. Далее выложить слой соленных огурцов, предварительно порезанных тонкой соломкой. Помидоры помыть, нарезать полукольцами и выложить следующим слоем на пиццу. Перец помыть, удалить плодоножку и семена, нарезать полукольцами и выложить на пиццу. Копченую колбасу тонко нарезать пластинками (соломкой или кубиками) и выложить следующим слоем. Посыпать пиццу оставшимся сыром. Маслины разрезать на половинки и выложить последним слоем на пиццу. Выпекать пиццу с копченой колбасой в заранее разогретой духовке при температуре 180 градусов 30 минут.",веган,"колбаса,корж для пиццы,перец,помидор,огурец,маслины,сыр,майонез,кетчуп,масло",завтрак,200 гр. копченая колбаса 1 шт. корж для пиццы 2  шт. сладкий перец 2 шт. помидоры 1  шт. соленый огурец10  шт. маслины 70  гр. твердый сыр по вкусу майонез по вкусу кетчуп по вкусу растительное масло,Пицца с копченой колбасой,40
"Если готовить блинчики из печенки куриной, то они получатся очень нежными и мягкими. Такую закуску я подаю к столу со сметаной, и блинчики очень любят даже детки. Мой ребенок не очень любит печень в чистом виде, поэтому я обычно готовлю такие блинчики из печенки. Измельчаем блендером печень, добавляем соль и специи по вкусу, а также сметану, муку и яйца. Все взбиваем при помощи миксера или обычным венчиком. Взбиваем до однородного состояния и начинаем выпекать. Наливаем на сковороду немного растительного масла и наливаем порциями наше ""тесто"". Делаем все так же, как во время выпекания блинов. Переворачиваем на другую сторону и выпекаем до готовности. Блинчики можно кушать просто со сметаной, а можно из них сделать вкуснейший закусочный торт. Для этого выберите начинку и промажьте все коржи. Оставьте такой торт пропитаться на ночь и наслаждайтесь!",мясоед,"куриная печень,яйцо,лук,сметана,мука,соль и специи",обед,500-700 г. Куриная печень 2-3 шт. Яйцо 1-2  шт. Лук 300 мл. Сметана 3-5  ст.л. Мука по вкусу Соль и специи,Блинчики из печенки,60
"Смешайте в миске мёд и оливковое масло. Нарезанную на кусочки курицу, манго, разрезанные пополам черри и измельчённый чеснок переложите в большую миску. Добавьте заправку и перемешайте. Готовую начинку разложите внутрь каждого листа салата и аккуратно сверните, чтобы получился ролл. Готово!",мясоед,"курица,манго,помидоры,салат,мед,масло,чеснок",перекус,3 стак. Курица (варёная нарезанная)1 стак. Манго (нарезанное)1  стак. Помидоры (черри)6 листов Салат (китайская капуста)1  ст. л. Мёд2-3  ч. л. Масло (оливковое)1  ч. л. Чеснок (измельчённый),Роллы с курицей и манго,15
"Размораживаем клубнику. Сок не выливаем, он нам пригодится. Измельчаем клубнику в однородную массу с помощью блендера. В клубничную массу добавляем желатин и даем ему набухнуть несколько минут . Добавляем сахарную пудру и лимонный сок. Смесь перемешиваем и подогреваем на небольшом огне, доводим до кипячения, но не кипятим. Полученную смесь охлаждаем до комнатной температуры и взбиваем миксером или блендером около 7 минут. Смесь должна подняться, загустеть и посветлеть. Берем силиконовую или любую другую форму, выливаем смесь, распределяем равномерно по всей поверхности и оставляем застывать около двух часов. Достаем застывшее суфле из формы, разрезаем на порционные кусочки и посыпаем сахарной пудрой. Наш десерт готов! Приятного аппетита!",вегетарианец,"клубника,желатин,сахар,лимон",перекус,200 г. Клубника замороженная15 г. Желатин150  г. Сахарная пудра1/2 шт. Лимон,Клубничное суфле,30
"Прежде всего варю вкурутую четыре крупных куриных яйца или же полдесятка мелких. Остужаю, обложив льдом приготовленным в морозилке или же просто под струей холодной водички в раковине. Майонез перемешиваю с перцем и солью. Тем временем чищу парочку огурчиков, каждый разрезаю по длине на три части и нарезаю соломкой. Мелко рублю по отдельности яичный желток и белок. Затем выкладываю продукты слоями. Первым слоем идет яичный желточек, вторым - тоненький слой майонеза. Третьим настает черед огуречной соломки, четвертый слой - вновь майонезный, а свеху зеленый лучок и слой тертого яичного белка. Получается похоже на верхушки деревьев, густо припорошенные свежим снегом.",вегетарианец,"яйцо,огурец,лук зеленый,майонез,соль,перец",завтрак,4 шт. Куриное яйцо2 шт. Огурцы свежие1  пуч. Лук зеленый75 г. Майонез по вкусу Соль по вкусу Перец черный молотый,Луковый салат с яйцом,40
Желатин заливаем теплой водой на 30 минут. Шампанское с сахаром и желатином варим на медленном огне 10 минут. не давая закипать. Нарезаем ананасы. Заливаем ананасы шампанским и охлаждаем до застывания.,веган,"шампанское,желатин,ананас,сахар",перекус,400 г. Шампанское30 г. Желатин100  г. Ананасы консервированные2 ст. л. Сахар песок,Желе из шампанского с ананасами,150
"Нарезаем перец болгарский и баклажаны ломтиками. Запекаем в разогретой духовке до готовности. Очищаем от кожицы и нарезаем. Обжариваем нарезанные помидоры и чеснок на оливковом масле. Добавляем баклажаны с перцами, бульон, соль и перец. Доводим до кипения. Даем остыть. Протираем через сито. Разливаем суп по тарелкам. Украшаем петрушкой. Приятного аппетита!",веган,"перец болгарский,баклажан,чеснок,помидор,масло,петрушка,соль",обед,4 шт. перец болгарский1 шт. баклажан1  зуб. чеснок4 шт. помидор1200  мл. бульон по вкусу масло оливковое по вкусу петрушка по вкусу соль по вкусу черный перец,Суп с печеными овощами,60
